date,open,high,low,close,volume
1662249600000,0.4803,0.51,0.4756,0.5035,199924106.3
1662336000000,0.5035,0.5076,0.4826,0.4984,141753954.4
1662422400000,0.4985,0.5122,0.4592,0.4625,233944338
1662508800000,0.4625,0.4821,0.4536,0.4787,139305299.9
1662595200000,0.4787,0.4831,0.4627,0.479,113848178.5
1662681600000,0.4791,0.505,0.4783,0.5022,179504511.2
1662768000000,0.5022,0.5242,0.4945,0.5121,194060696.5
1662854400000,0.5121,0.5199,0.5,0.5098,129240731.5
1662940800000,0.5098,0.5197,0.4958,0.5012,168685217.5
1663027200000,0.5013,0.509,0.4612,0.4635,232872260.6
1663113600000,0.4635,0.4871,0.462,0.4809,139528796.3
1663200000000,0.4807,0.482,0.4619,0.4662,131971420.4
1663286400000,0.4662,0.4747,0.454,0.4746,102993446.9
1663372800000,0.4746,0.4883,0.4723,0.4859,100281140.5
1663459200000,0.4859,0.4904,0.4403,0.4477,128727598.1
1663545600000,0.4477,0.457,0.4332,0.4527,182324362.8
1663632000000,0.4527,0.4545,0.4373,0.4422,107529839.9
1663718400000,0.4423,0.4645,0.4313,0.4389,285433830.3
1663804800000,0.4388,0.4666,0.4343,0.4584,155204297.3
1663891200000,0.4583,0.4825,0.446,0.4618,210001077.3
1663977600000,0.4619,0.4689,0.4504,0.4511,122469926.2
1664064000000,0.451,0.4628,0.4385,0.4464,112039917.9
1664150400000,0.4462,0.4507,0.4365,0.4473,125876450.8
1664236800000,0.4473,0.4633,0.4373,0.4411,148327423.1
1664323200000,0.4414,0.4431,0.4251,0.4361,126497310.3
1664409600000,0.4362,0.4394,0.4277,0.4381,120381859.1
1664496000000,0.4382,0.4415,0.4293,0.4347,120942156.5
1664582400000,0.4346,0.4364,0.4275,0.43,61750878.7
1664668800000,0.4301,0.4328,0.4176,0.4194,79897439.7
1664755200000,0.4195,0.4288,0.4158,0.4276,97901531.3
1664841600000,0.4276,0.4377,0.4253,0.4355,89193827.3
1664928000000,0.4356,0.4367,0.4236,0.4309,86070134.7
1665014400000,0.4309,0.437,0.4255,0.4288,87385034.1
1665100800000,0.4288,0.4304,0.4215,0.424,85765776
1665187200000,0.4239,0.4271,0.4188,0.4219,57044040.1
1665273600000,0.4219,0.4242,0.419,0.423,50765905.1
1665360000000,0.423,0.4268,0.3982,0.4012,108015329.8
1665446400000,0.4011,0.4016,0.3837,0.3908,157186233.63
1665532800000,0.3907,0.3954,0.376,0.3814,100681651
1665619200000,0.3814,0.3824,0.349,0.3768,269611367.28
1665705600000,0.3769,0.389,0.3606,0.3667,135534544.8
1665792000000,0.3667,0.37,0.3612,0.3641,62954187.6
1665878400000,0.3641,0.3749,0.3638,0.3703,61182203.2
1665964800000,0.3703,0.3758,0.366,0.3723,66215062.2
1666051200000,0.3724,0.3743,0.3569,0.3624,95363501.1
1666137600000,0.3624,0.3624,0.347,0.3497,92329214.7
1666224000000,0.3496,0.3557,0.3364,0.3402,111680559
1666310400000,0.3402,0.3499,0.33,0.3492,127159385.38
1666396800000,0.3492,0.3538,0.343,0.3522,42500590.5
